Ademar Maldonado,
Águas Claras,
Alta Tensão,
Alta Tensão I,
Alto das Antenas,
Araguaia,
Átila de Paiva,
Bairro das Indústrias I,
Bairro Novo das Indústrias,
Barreiro,
Bernadete,
Bonsucesso,
Brasil Industrial,
Cardoso,
Castanheira,
CDI Jatobá,
Conjunto Bonsucesso,
Conjunto Jatobá,
Corumbiara,
Diamante,
Distrito Industrial do Jatobá,
Ernesto do Nascimento,
Esperança,
Flávio de Oliveira,
Flávio Marques Lisboa,
Independência,
Itaipu,
Jardim Liberdade,
Jardim do Vale,
Jatobá,
João Paulo II,
Lindeia,
Mangueiras,
Marieta I,
Marieta II,
Marilândia,
Milionários,
Mineirão,
Miramar,
Novo Santa Cecília,
Olaria,
Olhos D’Água (parte),
Petrópolis,
Pilar,
Pongelupe,
Santa Cecília,
Santa Helena,
Santa Margarida,
Santa Rita,
São João,
Serra do Curral,
Solar do Barreiro,
Teixeira Dias,
Tirol,
Túnel de Ibirité,
Vale do Jatobá,
Vila Átila de Paiva,
Vila Batik,
Vila Cemig,
Vila Copasa,
Vila Ecológica,
Vila Formosa,
Vila Independência I,
Vila Independência II,
Vila Independência III,
Vila Independência IV,
Vila Mangueiras,
Vila Nova dos Milionários,
Vila Olhos D’Água,
Vila Petrópolis,
Vila Pilar,
Vila Pinho,
Vila Piratininga,
Vila Tirol,
Vitória da Conquista
