Alto Vera Cruz,
Alto da Boa Vista,
Baleia,
Belém Primeira Seção,
Belém Segunda Seção,
Boa Vista,
Buraco Quente,
Caetano Furquim,
Camponesa Primeira Seção,
Camponesa Segunda Seção,
Casa Branca,
Cidade Jardim Taquaril,
Colégio Batista,
Cônego Pinheiro Primeira Seção,
Cônego Pinheiro Segunda Seção,
Conjunto Taquaril,
Esplanada,
Fazendinha,
Floresta,
Granja de Freitas,
Grota,
Horto,
Horto Florestal,
João Alfredo,
Jonas Veiga,
Mariano de Abreu,
Nossa Senhora do Rosário,
Nova Vista,
Novo São Lucas,
Paraíso,
Pirineus,
Pompeia,
Sagrada Família,
Santa Efigênia,
Santa Inês,
Santa Tereza,
São Geraldo,
São Vicente,
Saudade,
Taquaril,
Vera Cruz,
Vila Boa Vista,
Vila da Área,
Vila Nossa Senhora do Rosário,
Vila Novo São Lucas,
Vila Paraíso,
Vila São Geraldo,
Vila São Rafael,
Vila União,
Vila Vera Cruz Primeira Seção,
Vila Vera Cruz Quarta Seção,
Vila Vera Cruz Segunda Seção,
Vila Vera Cruz Terceira Seção
