Alípio de Melo,
Alto Caiçaras,
Alto dos Pinheiros,
Álvaro Camargos,
Aparecida,
Aparecida, Sétima Seção,
Bom Jesus,
Bonfim,
Caiçara-Adelaide,
Caiçaras,
Califórnia,
Camargos,
Carlos Prates,
Conjunto Califórnia I,
Conjunto Califórnia II,
Conjunto Celso Machado,
Conjunto Jardim Filadélfia,
Coqueiros,
Coração Eucarístico,
Delta,
Dom Bosco,
Dom Cabral,
Ermelinda,
Glória,
Inconfidência,
Jardim Alvorada,
Jardim Incofidência,
Jardim Montanhês,
Jardim São José,
João Pinheiro,
Lagoinha,
Lorena,
Maravilha I,
Maravilha II,
Marmiteiros,
Minas Brasil,
Monsenhor Messias,
Nova Cachoeirinha,
Nova Esperança,
Novo Dom Bosco,
Novo Glória,
Oeste,
Padre Eustaquio,
Peru,
Pindorama,
Prado Lopes,
Santa Maria,
Santo André,
São Cristóvão,
São Salvador,
São Joaquim,
Senhor dos Passos,
Serrano,
Sumaré,
Vila Alvorada,
Vila Antena Montanhês,
Vila Califórnia,
Vila Coqueiral,
Vila das Oliveiras,
Vila Jardim Montanhês,
Vila Jardim São José,
Vila Maloca,
Vila Nova Cachoeirinha I,
Vila Nova Cachoeirinha II,
Vila Oeste,
Vila PUC,
Vila Santo Antônio Barroquinha,
Vila Sumaré,
Vila Trinta e Um de Março
