Aeroporto,
Bandeirantes,
Bispo de Maura,
Braúnas,
Campus UFMG,
Castelo,
Confisco,
Conjunto Lagoa,
Conjunto,
São Francisco de Assis,
Dona Clara,
Engenho Nogueira,
Garças,
Indaiá,
Itapoã,
Itatiaia,
Jaraguá,
Jardim Atlântico,
Liberdade,
Manacás,
Nova Pampulha,
Novo Ouro Preto,
Ouro Preto,
Paquetá,
Santa Amélia,
Santa Branca,
Santa Rosa,
Santa Terezinha,
São Francisco,
São José,
São Luiz,
Suzana,
Trevo,
Unidas,
Universitário,
Urca,
Vila Aeroporto,
Vila Aeroporto Jaraguá,
Vila Engenho Nogueira,
Vila Paquetá,
Vila Real - 1a Seção,
Vila Real - 2a Seção,
Vila Rica,
Vila Santa Rosa,
Vila Santo Antônio,
Vila São Francisco,
Vila Suzana - 1a Seção,
Vila Suzana - 2a Seção,
Xangri-lá
